File,2.csv,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,E,
Trace Calculate Trace 2,F,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1460.2,nm
Stop,1625,nm
Trace,E
Center Wavelength,1542.6,nm
Span Wavelength,164.8,nm
Start Wavelength,1460.2,nm
Stop Wavelength,1625,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Calculate,
Trace Storage Mode,Off,
Trace Calculate Trace 1,A,
Trace Calculate Trace 2,C,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1460.2,nm
Stop,1625,nm

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.200000,8.9010E-005,1460.200000,5.3140E-005,1460.200000,2.9040E-005,1460.200000,2.0170E-005,1460.200000,3.0651E000
1460.216480,8.8990E-005,1460.216480,5.2930E-005,1460.216480,2.8820E-005,1460.216480,1.9910E-005,1460.216480,3.0878E000
1460.232960,9.0370E-005,1460.232960,5.3570E-005,1460.232960,2.9210E-005,1460.232960,2.0150E-005,1460.232960,3.0938E000
1460.249440,9.2090E-005,1460.249440,5.4760E-005,1460.249440,2.9810E-005,1460.249440,2.0600E-005,1460.249440,3.0892E000
1460.265920,9.2870E-005,1460.265920,5.5270E-005,1460.265920,3.0090E-005,1460.265920,2.0770E-005,1460.265920,3.0864E000
1460.282400,9.3400E-005,1460.282400,5.5620E-005,1460.282400,3.0200E-005,1460.282400,2.0950E-005,1460.282400,3.0927E000
1460.298880,9.3810E-005,1460.298880,5.5680E-005,1460.298880,3.0420E-005,1460.298880,2.1030E-005,1460.298880,3.0838E000
1460.315360,9.3990E-005,1460.315360,5.5900E-005,1460.315360,3.0460E-005,1460.315360,2.1120E-005,1460.315360,3.0857E000
1460.331840,9.4400E-005,1460.331840,5.6150E-005,1460.331840,3.0560E-005,1460.331840,2.1120E-005,1460.331840,3.0890E000
1460.348320,9.4650E-005,1460.348320,5.6090E-005,1460.348320,3.0520E-005,1460.348320,2.1120E-005,1460.348320,3.1012E000
1460.364800,9.4910E-005,1460.364800,5.6520E-005,1460.364800,3.0690E-005,1460.364800,2.1250E-005,1460.364800,3.0925E000
1460.381280,9.5090E-005,1460.381280,5.6600E-005,1460.381280,3.0780E-005,1460.381280,2.1270E-005,1460.381280,3.0893E000
1460.397760,9.5430E-005,1460.397760,5.6740E-005,1460.397760,3.0840E-005,1460.397760,2.1330E-005,1460.397760,3.0944E000
1460.414240,9.5450E-005,1460.414240,5.6860E-005,1460.414240,3.0850E-005,1460.414240,2.1400E-005,1460.414240,3.0940E000
1460.430720,9.5520E-005,1460.430720,5.7040E-005,1460.430720,3.0840E-005,1460.430720,2.1400E-005,1460.430720,3.0973E000
1460.447200,9.5770E-005,1460.447200,5.7270E-005,1460.447200,3.1060E-005,1460.447200,2.1460E-005,1460.447200,3.0834E000
1460.463680,9.6120E-005,1460.463680,5.7340E-005,1460.463680,3.1210E-005,1460.463680,2.1560E-005,1460.463680,3.0798E000
1460.480160,9.6210E-005,1460.480160,5.7210E-005,1460.480160,3.1210E-005,1460.480160,2.1580E-005,1460.480160,3.0827E000
1460.496640,9.6400E-005,1460.496640,5.7450E-005,1460.496640,3.1260E-005,1460.496640,2.1660E-005,1460.496640,3.0838E000
1460.513120,9.6360E-005,1460.513120,5.7630E-005,1460.513120,3.1300E-005,1460.513120,2.1640E-005,1460.513120,3.0786E000
1460.529600,9.6530E-005,1460.529600,5.7650E-005,1460.529600,3.1430E-005,1460.529600,2.1640E-005,1460.529600,3.0713E000
1460.546080,9.6880E-005,1460.546080,5.7500E-005,1460.546080,3.1390E-005,1460.546080,2.1680E-005,1460.546080,3.0863E000
1460.562560,9.6620E-005,1460.562560,5.7770E-005,1460.562560,3.1430E-005,1460.562560,2.1750E-005,1460.562560,3.0741E000
1460.579040,9.6880E-005,1460.579040,5.7770E-005,1460.579040,3.1490E-005,1460.579040,2.1680E-005,1460.579040,3.0765E000
1460.595520,9.7310E-005,1460.595520,5.7920E-005,1460.595520,3.1530E-005,1460.595520,2.1660E-005,1460.595520,3.0863E000
1460.612000,9.7590E-005,1460.612000,5.8030E-005,1460.612000,3.1600E-005,1460.612000,2.1840E-005,1460.612000,3.0883E000
1460.628480,9.7780E-005,1460.628480,5.8270E-005,1460.628480,3.1690E-005,1460.628480,2.1860E-005,1460.628480,3.0855E000
1460.644960,9.7710E-005,1460.644960,5.8290E-005,1460.644960,3.1690E-005,1460.644960,2.1790E-005,1460.644960,3.0833E000
1460.661440,9.7870E-005,1460.661440,5.8380E-005,1460.661440,3.1580E-005,1460.661440,2.1860E-005,1460.661440,3.0991E000
1460.677920,9.8190E-005,1460.677920,5.8510E-005,1460.677920,3.1880E-005,1460.677920,2.1970E-005,1460.677920,3.0800E000
1460.694400,9.8230E-005,1460.694400,5.8630E-005,1460.694400,3.1920E-005,1460.694400,2.1970E-005,1460.694400,3.0774E000
1460.710880,9.8440E-005,1460.710880,5.8550E-005,1460.710880,3.1940E-005,1460.710880,2.1990E-005,1460.710880,3.0820E000
1460.727360,9.8420E-005,1460.727360,5.8760E-005,1460.727360,3.1990E-005,1460.727360,2.1900E-005,1460.727360,3.0766E000
1460.743840,9.8750E-005,1460.743840,5.8640E-005,1460.743840,3.2030E-005,1460.743840,2.2010E-005,1460.743840,3.0830E000
1460.760320,9.8570E-005,1460.760320,5.8740E-005,1460.760320,3.2050E-005,1460.760320,2.2050E-005,1460.760320,3.0755E000
1460.776800,9.9000E-005,1460.776800,5.8610E-005,1460.776800,3.2100E-005,1460.776800,2.1990E-005,1460.776800,3.0841E000
1460.793280,9.8730E-005,1460.793280,5.8960E-005,1460.793280,3.2100E-005,1460.793280,2.1900E-005,1460.793280,3.0757E000
1460.809760,9.8870E-005,1460.809760,5.8920E-005,1460.809760,3.2160E-005,1460.809760,2.2030E-005,1460.809760,3.0743E000
1460.826240,9.9350E-005,1460.826240,5.9060E-005,1460.826240,3.2140E-005,1460.826240,2.2030E-005,1460.826240,3.0912E000
1460.842720,9.9410E-005,1460.842720,5.9170E-005,1460.842720,3.2220E-005,1460.842720,2.2140E-005,1460.842720,3.0854E000
1460.859200,9.9720E-005,1460.859200,5.9300E-005,1460.859200,3.2250E-005,1460.859200,2.2200E-005,1460.859200,3.0921E000
1460.875680,9.9720E-005,1460.875680,5.9370E-005,1460.875680,3.2310E-005,1460.875680,2.2250E-005,1460.875680,3.0864E000
1460.892160,9.9910E-005,1460.892160,5.9670E-005,1460.892160,3.2500E-005,1460.892160,2.2200E-005,1460.892160,3.0742E000
1460.908640,9.9740E-005,1460.908640,5.9750E-005,1460.908640,3.2530E-005,1460.908640,2.2180E-005,1460.908640,3.0661E000
1460.925120,1.0020E-004,1460.925120,5.9750E-005,1460.925120,3.2610E-005,1460.925120,2.2200E-005,1460.925120,3.0727E000
1460.941600,1.0010E-004,1460.941600,5.9920E-005,1460.941600,3.2480E-005,1460.941600,2.2250E-005,1460.941600,3.0819E000
1460.958080,1.0040E-004,1460.958080,5.9920E-005,1460.958080,3.2520E-005,1460.958080,2.2330E-005,1460.958080,3.0873E000
1460.974560,1.0060E-004,1460.974560,5.9950E-005,1460.974560,3.2650E-005,1460.974560,2.2370E-005,1460.974560,3.0812E000
1460.991040,1.0070E-004,1460.991040,6.0030E-005,1460.991040,3.2610E-005,1460.991040,2.2330E-005,1460.991040,3.0880E000
1461.007520,1.0060E-004,1461.007520,6.0010E-005,1461.007520,3.2800E-005,1461.007520,2.2480E-005,1461.007520,3.0671E000
1461.024000,1.0070E-004,1461.024000,5.9970E-005,1461.024000,3.2680E-005,1461.024000,2.2420E-005,1461.024000,3.0814E000
1461.040480,1.0090E-004,1461.040480,6.0140E-005,1461.040480,3.2870E-005,1461.040480,2.2350E-005,1461.040480,3.0697E000
1461.056960,1.0100E-004,1461.056960,6.0410E-005,1461.056960,3.2890E-005,1461.056960,2.2400E-005,1461.056960,3.0708E000
1461.073440,1.0130E-004,1461.073440,6.0360E-005,1461.073440,3.2870E-005,1461.073440,2.2400E-005,1461.073440,3.0818E000
1461.089920,1.0130E-004,1461.089920,6.0450E-005,1461.089920,3.2910E-005,1461.089920,2.2510E-005,1461.089920,3.0781E000
1461.106400,1.0110E-004,1461.106400,6.0320E-005,1461.106400,3.2890E-005,1461.106400,2.2400E-005,1461.106400,3.0739E000
1461.122880,1.0060E-004,1461.122880,6.0130E-005,1461.122880,3.2720E-005,1461.122880,2.2360E-005,1461.122880,3.0746E000
1461.139360,1.0040E-004,1461.139360,6.0040E-005,1461.139360,3.2700E-005,1461.139360,2.2320E-005,1461.139360,3.0703E000
1461.155840,1.0100E-004,1461.155840,6.0320E-005,1461.155840,3.2910E-005,1461.155840,2.2300E-005,1461.155840,3.0690E000
1461.172320,1.0190E-004,1461.172320,6.0860E-005,1461.172320,3.3190E-005,1461.172320,2.2600E-005,1461.172320,3.0702E000
1461.188800,1.0230E-004,1461.188800,6.1030E-005,1461.188800,3.3390E-005,1461.188800,2.2570E-005,1461.188800,3.0638E000
1461.205280,1.0290E-004,1461.205280,6.1270E-005,1461.205280,3.3540E-005,1461.205280,2.2620E-005,1461.205280,3.0680E000
1461.221760,1.0300E-004,1461.221760,6.1480E-005,1461.221760,3.3560E-005,1461.221760,2.2730E-005,1461.221760,3.0691E000
1461.238240,1.0320E-004,1461.238240,6.1560E-005,1461.238240,3.3470E-005,1461.238240,2.2790E-005,1461.238240,3.0834E000
1461.254720,1.0330E-004,1461.254720,6.1630E-005,1461.254720,3.3580E-005,1461.254720,2.2850E-005,1461.254720,3.0762E000
1461.271200,1.0370E-004,1461.271200,6.1710E-005,1461.271200,3.3640E-005,1461.271200,2.2870E-005,1461.271200,3.0826E000
1461.287680,1.0400E-004,1461.287680,6.1890E-005,1461.287680,3.3800E-005,1461.287680,2.2920E-005,1461.287680,3.0769E000
1461.304160,1.0400E-004,1461.304160,6.1950E-005,1461.304160,3.3800E-005,1461.304160,2.2900E-005,1461.304160,3.0769E000
1461.320640,1.0430E-004,1461.320640,6.2230E-005,1461.320640,3.3920E-005,1461.320640,2.2960E-005,1461.320640,3.0749E000
1461.337120,1.0440E-004,1461.337120,6.2490E-005,1461.337120,3.4050E-005,1461.337120,2.3000E-005,1461.337120,3.0661E000
1461.353600,1.0490E-004,1461.353600,6.2620E-005,1461.353600,3.4010E-005,1461.353600,2.3050E-005,1461.353600,3.0844E000
1461.370080,1.0460E-004,1461.370080,6.2730E-005,1461.370080,3.4310E-005,1461.370080,2.2960E-005,1461.370080,3.0487E000
1461.386560,1.0490E-004,1461.386560,6.2620E-005,1461.386560,3.4180E-005,1461.386560,2.3050E-005,1461.386560,3.0690E000
1461.403040,1.0530E-004,1461.403040,6.2880E-005,1461.403040,3.4370E-005,1461.403040,2.3130E-005,1461.403040,3.0637E000
1461.419520,1.0550E-004,1461.419520,6.3030E-005,1461.419520,3.4330E-005,1461.419520,2.3260E-005,1461.419520,3.0731E000
1461.436000,1.0560E-004,1461.436000,6.3110E-005,1461.436000,3.4570E-005,1461.436000,2.3160E-005,1461.436000,3.0547E000
1461.452480,1.0580E-004,1461.452480,6.3220E-005,1461.452480,3.4550E-005,1461.452480,2.3220E-005,1461.452480,3.0622E000
1461.468960,1.0580E-004,1461.468960,6.3200E-005,1461.468960,3.4660E-005,1461.468960,2.3280E-005,1461.468960,3.0525E000
1461.485440,1.0600E-004,1461.485440,6.3260E-005,1461.485440,3.4700E-005,1461.485440,2.3220E-005,1461.485440,3.0548E000
1461.501920,1.0620E-004,1461.501920,6.3290E-005,1461.501920,3.4720E-005,1461.501920,2.3260E-005,1461.501920,3.0588E000
1461.518400,1.0630E-004,1461.518400,6.3560E-005,1461.518400,3.4780E-005,1461.518400,2.3300E-005,1461.518400,3.0564E000
1461.534880,1.0620E-004,1461.534880,6.3560E-005,1461.534880,3.4850E-005,1461.534880,2.3260E-005,1461.534880,3.0473E000
1461.551360,1.0670E-004,1461.551360,6.3590E-005,1461.551360,3.4720E-005,1461.551360,2.3260E-005,1461.551360,3.0732E000
1461.567840,1.0690E-004,1461.567840,6.3780E-005,1461.567840,3.4910E-005,1461.567840,2.3350E-005,1461.567840,3.0622E000
1461.584320,1.0730E-004,1461.584320,6.4100E-005,1461.584320,3.4960E-005,1461.584320,2.3330E-005,1461.584320,3.0692E000
1461.600800,1.0740E-004,1461.600800,6.4380E-005,1461.600800,3.5130E-005,1461.600800,2.3520E-005,1461.600800,3.0572E000
1461.617280,1.0750E-004,1461.617280,6.4300E-005,1461.617280,3.5240E-005,1461.617280,2.3520E-005,1461.617280,3.0505E000
1461.633760,1.0760E-004,1461.633760,6.4320E-005,1461.633760,3.5390E-005,1461.633760,2.3540E-005,1461.633760,3.0404E000
1461.650240,1.0770E-004,1461.650240,6.4470E-005,1461.650240,3.5280E-005,1461.650240,2.3460E-005,1461.650240,3.0527E000
1461.666720,1.0770E-004,1461.666720,6.4450E-005,1461.666720,3.5260E-005,1461.666720,2.3460E-005,1461.666720,3.0545E000
1461.683200,1.0780E-004,1461.683200,6.4470E-005,1461.683200,3.5430E-005,1461.683200,2.3550E-005,1461.683200,3.0426E000
1461.699680,1.0820E-004,1461.699680,6.4660E-005,1461.699680,3.5410E-005,1461.699680,2.3590E-005,1461.699680,3.0556E000
1461.716160,1.0810E-004,1461.716160,6.4540E-005,1461.716160,3.5510E-005,1461.716160,2.3590E-005,1461.716160,3.0442E000
1461.732640,1.0830E-004,1461.732640,6.4640E-005,1461.732640,3.5660E-005,1461.732640,2.3480E-005,1461.732640,3.0370E000
1461.749120,1.0870E-004,1461.749120,6.4840E-005,1461.749120,3.5640E-005,1461.749120,2.3440E-005,1461.749120,3.0499E000
1461.765600,1.0910E-004,1461.765600,6.4940E-005,1461.765600,3.5710E-005,1461.765600,2.3610E-005,1461.765600,3.0552E000
1461.782080,1.0890E-004,1461.782080,6.4970E-005,1461.782080,3.5690E-005,1461.782080,2.3550E-005,1461.782080,3.0513E000
1461.798560,1.0910E-004,1461.798560,6.5110E-005,1461.798560,3.5960E-005,1461.798560,2.3720E-005,1461.798560,3.0339E000
1461.815040,1.0940E-004,1461.815040,6.5370E-005,1461.815040,3.5900E-005,1461.815040,2.3640E-005,1461.815040,3.0474E000
1461.831520,1.0950E-004,1461.831520,6.5540E-005,1461.831520,3.6090E-005,1461.831520,2.3660E-005,1461.831520,3.0341E000
1461.848000,1.0960E-004,1461.848000,6.5520E-005,1461.848000,3.6160E-005,1461.848000,2.3720E-005,1461.848000,3.0310E000
1461.864480,1.0930E-004,1461.864480,6.5440E-005,1461.864480,3.6050E-005,1461.864480,2.3740E-005,1461.864480,3.0319E000
1461.880960,1.0980E-004,1461.880960,6.5760E-005,1461.880960,3.6140E-005,1461.880960,2.3790E-005,1461.880960,3.0382E000
1461.897440,1.0970E-004,1461.897440,6.5550E-005,1461.897440,3.6140E-005,1461.897440,2.3660E-005,1461.897440,3.0354E000
1461.913920,1.0960E-004,1461.913920,6.5630E-005,1461.913920,3.6220E-005,1461.913920,2.3720E-005,1461.913920,3.0260E000
1461.930400,1.0990E-004,1461.930400,6.5820E-005,1461.930400,3.6240E-005,1461.930400,2.3780E-005,1461.930400,3.0326E000
1461.946880,1.1010E-004,1461.946880,6.5630E-005,1461.946880,3.6240E-005,1461.946880,2.3790E-005,1461.946880,3.0381E000
1461.963360,1.1000E-004,1461.963360,6.5930E-005,1461.963360,3.6460E-005,1461.963360,2.3720E-005,1461.963360,3.0170E000
1461.979840,1.1060E-004,1461.979840,6.6150E-005,1461.979840,3.6440E-005,1461.979840,2.3780E-005,1461.979840,3.0351E000
1461.996320,1.1050E-004,1461.996320,6.6190E-005,1461.996320,3.6350E-005,1461.996320,2.3890E-005,1461.996320,3.0399E000
1462.012800,1.1080E-004,1462.012800,6.6270E-005,1462.012800,3.6610E-005,1462.012800,2.3850E-005,1462.012800,3.0265E000
1462.029280,1.1080E-004,1462.029280,6.6270E-005,1462.029280,3.6700E-005,1462.029280,2.3940E-005,1462.029280,3.0191E000
1462.045760,1.1110E-004,1462.045760,6.6490E-005,1462.045760,3.6760E-005,1462.045760,2.3890E-005,1462.045760,3.0223E000
1462.062240,1.1150E-004,1462.062240,6.6710E-005,1462.062240,3.6870E-005,1462.062240,2.3960E-005,1462.062240,3.0241E000
1462.078720,1.1140E-004,1462.078720,6.6790E-005,1462.078720,3.6950E-005,1462.078720,2.3940E-005,1462.078720,3.0149E000
1462.095200,1.1190E-004,1462.095200,6.6920E-005,1462.095200,3.7100E-005,1462.095200,2.4000E-005,1462.095200,3.0162E000
1462.111680,1.1210E-004,1462.111680,6.7030E-005,1462.111680,3.7080E-005,1462.111680,2.3940E-005,1462.111680,3.0232E000
1462.128160,1.1210E-004,1462.128160,6.7130E-005,1462.128160,3.7150E-005,1462.128160,2.4020E-005,1462.128160,3.0175E000
1462.144640,1.1230E-004,1462.144640,6.7180E-005,1462.144640,3.7150E-005,1462.144640,2.4060E-005,1462.144640,3.0229E000
1462.161120,1.1230E-004,1462.161120,6.7220E-005,1462.161120,3.7250E-005,1462.161120,2.4020E-005,1462.161120,3.0148E000
1462.177600,1.1240E-004,1462.177600,6.7440E-005,1462.177600,3.7280E-005,1462.177600,2.3980E-005,1462.177600,3.0150E000
1462.194080,1.1250E-004,1462.194080,6.7460E-005,1462.194080,3.7360E-005,1462.194080,2.4000E-005,1462.194080,3.0112E000
1462.210560,1.1280E-004,1462.210560,6.7460E-005,1462.210560,3.7470E-005,1462.210560,2.4170E-005,1462.210560,3.0104E000
1462.227040,1.1320E-004,1462.227040,6.7500E-005,1462.227040,3.7360E-005,1462.227040,2.4060E-005,1462.227040,3.0300E000
1462.243520,1.1330E-004,1462.243520,6.7740E-005,1462.243520,3.7660E-005,1462.243520,2.4090E-005,1462.243520,3.0085E000
1462.260000,1.1360E-004,1462.260000,6.7780E-005,1462.260000,3.7680E-005,1462.260000,2.4200E-005,1462.260000,3.0149E000
1462.276480,1.1360E-004,1462.276480,6.7970E-005,1462.276480,3.7720E-005,1462.276480,2.4160E-005,1462.276480,3.0117E000
1462.292960,1.1400E-004,1462.292960,6.8230E-005,1462.292960,3.7900E-005,1462.292960,2.4290E-005,1462.292960,3.0079E000
1462.309440,1.1410E-004,1462.309440,6.8360E-005,1462.309440,3.8020E-005,1462.309440,2.4220E-005,1462.309440,3.0011E000
1462.325920,1.1430E-004,1462.325920,6.8420E-005,1462.325920,3.8020E-005,1462.325920,2.4410E-005,1462.325920,3.0063E000
1462.342400,1.1460E-004,1462.342400,6.8420E-005,1462.342400,3.8180E-005,1462.342400,2.4270E-005,1462.342400,3.0016E000
1462.358880,1.1510E-004,1462.358880,6.8730E-005,1462.358880,3.8180E-005,1462.358880,2.4350E-005,1462.358880,3.0147E000
1462.375360,1.1470E-004,1462.375360,6.8870E-005,1462.375360,3.8350E-005,1462.375360,2.4370E-005,1462.375360,2.9909E000
1462.391840,1.1470E-004,1462.391840,6.8730E-005,1462.391840,3.8310E-005,1462.391840,2.4270E-005,1462.391840,2.9940E000
1462.408320,1.1500E-004,1462.408320,6.8790E-005,1462.408320,3.8500E-005,1462.408320,2.4290E-005,1462.408320,2.9870E000
1462.424800,1.1530E-004,1462.424800,6.8830E-005,1462.424800,3.8460E-005,1462.424800,2.4270E-005,1462.424800,2.9979E000
1462.441280,1.1530E-004,1462.441280,6.9020E-005,1462.441280,3.8580E-005,1462.441280,2.4390E-005,1462.441280,2.9886E000
1462.457760,1.1570E-004,1462.457760,6.9200E-005,1462.457760,3.8580E-005,1462.457760,2.4410E-005,1462.457760,2.9990E000
1462.474240,1.1580E-004,1462.474240,6.9300E-005,1462.474240,3.8580E-005,1462.474240,2.4390E-005,1462.474240,3.0016E000
1462.490720,1.1620E-004,1462.490720,6.9520E-005,1462.490720,3.8730E-005,1462.490720,2.4460E-005,1462.490720,3.0003E000
1462.507200,1.1660E-004,1462.507200,6.9670E-005,1462.507200,3.8930E-005,1462.507200,2.4440E-005,1462.507200,2.9951E000
1462.523680,1.1670E-004,1462.523680,6.9800E-005,1462.523680,3.9010E-005,1462.523680,2.4520E-005,1462.523680,2.9915E000
1462.540160,1.1700E-004,1462.540160,7.0140E-005,1462.540160,3.9180E-005,1462.540160,2.4650E-005,1462.540160,2.9862E000
1462.556640,1.1710E-004,1462.556640,7.0140E-005,1462.556640,3.9210E-005,1462.556640,2.4690E-005,1462.556640,2.9865E000
1462.573120,1.1750E-004,1462.573120,7.0340E-005,1462.573120,3.9330E-005,1462.573120,2.4720E-005,1462.573120,2.9875E000
1462.589600,1.1740E-004,1462.589600,7.0290E-005,1462.589600,3.9400E-005,1462.589600,2.4720E-005,1462.589600,2.9797E000
1462.606080,1.1740E-004,1462.606080,7.0210E-005,1462.606080,3.9400E-005,1462.606080,2.4720E-005,1462.606080,2.9797E000
1462.622560,1.1740E-004,1462.622560,7.0180E-005,1462.622560,3.9460E-005,1462.622560,2.4650E-005,1462.622560,2.9752E000
1462.639040,1.1760E-004,1462.639040,7.0440E-005,1462.639040,3.9490E-005,1462.639040,2.4610E-005,1462.639040,2.9780E000
1462.655520,1.1780E-004,1462.655520,7.0440E-005,1462.655520,3.9490E-005,1462.655520,2.4630E-005,1462.655520,2.9830E000
1462.672000,1.1790E-004,1462.672000,7.0530E-005,1462.672000,3.9590E-005,1462.672000,2.4650E-005,1462.672000,2.9780E000
1462.688480,1.1800E-004,1462.688480,7.0510E-005,1462.688480,3.9660E-005,1462.688480,2.4710E-005,1462.688480,2.9753E000
1462.704960,1.1840E-004,1462.704960,7.0640E-005,1462.704960,3.9780E-005,1462.704960,2.4710E-005,1462.704960,2.9764E000
1462.721440,1.1860E-004,1462.721440,7.0910E-005,1462.721440,3.9870E-005,1462.721440,2.4760E-005,1462.721440,2.9747E000
1462.737920,1.1880E-004,1462.737920,7.1040E-005,1462.737920,3.9960E-005,1462.737920,2.4760E-005,1462.737920,2.9730E000
1462.754400,1.1890E-004,1462.754400,7.1240E-005,1462.754400,3.9910E-005,1462.754400,2.4800E-005,1462.754400,2.9792E000
1462.770880,1.1900E-004,1462.770880,7.1470E-005,1462.770880,4.0110E-005,1462.770880,2.4800E-005,1462.770880,2.9668E000
1462.787360,1.1890E-004,1462.787360,7.1360E-005,1462.787360,4.0210E-005,1462.787360,2.4720E-005,1462.787360,2.9570E000
1462.803840,1.1880E-004,1462.803840,7.1490E-005,1462.803840,4.0090E-005,1462.803840,2.4720E-005,1462.803840,2.9633E000
1462.820320,1.1900E-004,1462.820320,7.1410E-005,1462.820320,4.0150E-005,1462.820320,2.4760E-005,1462.820320,2.9639E000
1462.836800,1.1910E-004,1462.836800,7.1600E-005,1462.836800,4.0380E-005,1462.836800,2.4760E-005,1462.836800,2.9495E000
1462.853280,1.1950E-004,1462.853280,7.1450E-005,1462.853280,4.0340E-005,1462.853280,2.4760E-005,1462.853280,2.9623E000
1462.869760,1.1940E-004,1462.869760,7.1640E-005,1462.869760,4.0490E-005,1462.869760,2.4790E-005,1462.869760,2.9489E000
1462.886240,1.1960E-004,1462.886240,7.1510E-005,1462.886240,4.0510E-005,1462.886240,2.4810E-005,1462.886240,2.9524E000
1462.902720,1.1970E-004,1462.902720,7.1600E-005,1462.902720,4.0300E-005,1462.902720,2.4770E-005,1462.902720,2.9702E000
1462.919200,1.1930E-004,1462.919200,7.1710E-005,1462.919200,4.0410E-005,1462.919200,2.4720E-005,1462.919200,2.9522E000
1462.935680,1.2000E-004,1462.935680,7.1770E-005,1462.935680,4.0410E-005,1462.935680,2.4720E-005,1462.935680,2.9696E000
1462.952160,1.2010E-004,1462.952160,7.1840E-005,1462.952160,4.0730E-005,1462.952160,2.4770E-005,1462.952160,2.9487E000
1462.968640,1.2050E-004,1462.968640,7.2050E-005,1462.968640,4.0860E-005,1462.968640,2.4810E-005,1462.968640,2.9491E000
1462.985120,1.2050E-004,1462.985120,7.2140E-005,1462.985120,4.0810E-005,1462.985120,2.4770E-005,1462.985120,2.9527E000
1463.001600,1.2050E-004,1463.001600,7.2220E-005,1463.001600,4.0920E-005,1463.001600,2.4890E-005,1463.001600,2.9448E000
1463.018080,1.2050E-004,1463.018080,7.2290E-005,1463.018080,4.0990E-005,1463.018080,2.4910E-005,1463.018080,2.9397E000
1463.034560,1.2060E-004,1463.034560,7.2290E-005,1463.034560,4.1010E-005,1463.034560,2.4810E-005,1463.034560,2.9407E000
1463.051040,1.1990E-004,1463.051040,7.1920E-005,1463.051040,4.0860E-005,1463.051040,2.4700E-005,1463.051040,2.9344E000
1463.067520,1.1890E-004,1463.067520,7.1390E-005,1463.067520,4.0640E-005,1463.067520,2.4530E-005,1463.067520,2.9257E000
1463.084000,1.1660E-004,1463.084000,7.0120E-005,1463.084000,3.9960E-005,1463.084000,2.4180E-005,1463.084000,2.9179E000
1463.100480,1.1470E-004,1463.100480,6.8770E-005,1463.100480,3.9230E-005,1463.100480,2.3540E-005,1463.100480,2.9238E000
1463.116960,1.1570E-004,1463.116960,6.9030E-005,1463.116960,3.9160E-005,1463.116960,2.3480E-005,1463.116960,2.9545E000
1463.133440,1.1840E-004,1463.133440,7.0550E-005,1463.133440,4.0130E-005,1463.133440,2.3930E-005,1463.133440,2.9504E000
