
Trace,A
S. Level,3.0,dB,-39.46,dBm
Peak Count,125,
Signal Prmtr,Peak,,,Point,,
Noise Prmtr,Point,(L+R)/2
Resolution Normalize,Off,,
Noise Position,Off,
Gain Vari,2.74,dB
No.,Wl,,Freq,,Level,,SNR,,L/R,Spacing,,SpacingF
48,1606.553000,nm,186.606,THz,-37.28,dBm,-14.01,dB,A,1.584000,nm,184.2,GHz
49,1606.768000,nm,186.581,THz,-37.27,dBm,-13.23,dB,A,0.215000,nm,25.0,GHz
50,1606.966000,nm,186.5581,THz,-37.3,dBm,-13.23,dB,A,0.198000,nm,22.9,GHz
51,1607.164000,nm,186.5351,THz,-37.32,dBm,-13.13,dB,A,0.198000,nm,23.0,GHz
52,1607.362000,nm,186.5121,THz,-37.34,dBm,-13.58,dB,A,0.198000,nm,23.0,GHz
53,1607.576000,nm,186.4873,THz,-37.35,dBm,-13.4,dB,A,0.214000,nm,24.8,GHz
54,1607.758000,nm,186.4662,THz,-37.34,dBm,-12.66,dB,A,0.182000,nm,21.1,GHz
55,1607.972000,nm,186.4413,THz,-37.35,dBm,-12.55,dB,A,0.214000,nm,24.9,GHz
56,1608.170000,nm,186.4184,THz,-37.36,dBm,-12.22,dB,A,0.198000,nm,22.9,GHz
57,1608.368000,nm,186.3954,THz,-37.4,dBm,-12.71,dB,A,0.198000,nm,23.0,GHz
58,1608.583000,nm,186.3705,THz,-37.43,dBm,-12.96,dB,A,0.215000,nm,24.9,GHz
59,1608.781000,nm,186.3476,THz,-37.43,dBm,-12.56,dB,A,0.198000,nm,22.9,GHz
60,1608.979000,nm,186.3247,THz,-37.42,dBm,-12.4,dB,A,0.198000,nm,22.9,GHz
61,1609.177000,nm,186.3017,THz,-37.45,dBm,-12.79,dB,A,0.198000,nm,23.0,GHz
62,1609.391000,nm,186.277,THz,-37.48,dBm,-13.02,dB,A,0.214000,nm,24.7,GHz
63,1609.573000,nm,186.2559,THz,-37.52,dBm,-13.52,dB,A,0.182000,nm,21.1,GHz
64,1609.787000,nm,186.2311,THz,-37.53,dBm,-13.59,dB,A,0.214000,nm,24.8,GHz
65,1610.002000,nm,186.2063,THz,-37.55,dBm,-13.96,dB,A,0.215000,nm,24.8,GHz
66,1610.200000,nm,186.1834,THz,-37.56,dBm,-14.14,dB,A,0.198000,nm,22.9,GHz
67,1610.398000,nm,186.1605,THz,-37.59,dBm,-13.78,dB,A,0.198000,nm,22.9,GHz
68,1610.992000,nm,186.0918,THz,-37.64,dBm,-14.02,dB,A,0.594000,nm,68.7,GHz
69,1611.223000,nm,186.0652,THz,-37.67,dBm,-13.47,dB,A,0.231000,nm,26.6,GHz
70,1612.196000,nm,185.9529,THz,-37.73,dBm,-13.6,dB,A,0.973000,nm,112.3,GHz
71,1612.394000,nm,185.93,THz,-37.75,dBm,-13.55,dB,A,0.198000,nm,22.9,GHz
72,1612.609000,nm,185.9052,THz,-37.79,dBm,-14.74,dB,A,0.215000,nm,24.8,GHz
73,1612.807000,nm,185.8824,THz,-37.78,dBm,-13.85,dB,A,0.198000,nm,22.8,GHz
74,1612.988000,nm,185.8616,THz,-37.77,dBm,-12.61,dB,A,0.181000,nm,20.8,GHz
75,1613.203000,nm,185.8368,THz,-37.8,dBm,-12.87,dB,A,0.215000,nm,24.8,GHz
76,1613.417000,nm,185.8121,THz,-37.85,dBm,-13.99,dB,A,0.214000,nm,24.7,GHz
77,1613.615000,nm,185.7893,THz,-37.87,dBm,-13.79,dB,A,0.198000,nm,22.8,GHz
78,1613.813000,nm,185.7665,THz,-37.87,dBm,-13.03,dB,A,0.198000,nm,22.8,GHz
79,1614.028000,nm,185.7418,THz,-37.89,dBm,-13.13,dB,A,0.215000,nm,24.7,GHz
80,1614.226000,nm,185.719,THz,-37.9,dBm,-13.36,dB,A,0.198000,nm,22.8,GHz
81,1614.424000,nm,185.6962,THz,-37.94,dBm,-13.62,dB,A,0.198000,nm,22.8,GHz
82,1614.638000,nm,185.6716,THz,-37.98,dBm,-13.44,dB,A,0.214000,nm,24.6,GHz
83,1615.265000,nm,185.5996,THz,-38.01,dBm,-13.41,dB,A,0.627000,nm,72.0,GHz
84,1615.463000,nm,185.5768,THz,-38.05,dBm,-14.35,dB,A,0.198000,nm,22.8,GHz
85,1615.645000,nm,185.5559,THz,-38.07,dBm,-14.33,dB,A,0.182000,nm,20.9,GHz
86,1615.826000,nm,185.5351,THz,-38.1,dBm,-14.26,dB,A,0.181000,nm,20.8,GHz
87,1616.041000,nm,185.5104,THz,-38.11,dBm,-13.82,dB,A,0.215000,nm,24.7,GHz
88,1616.437000,nm,185.465,THz,-38.16,dBm,-13.89,dB,A,0.396000,nm,45.4,GHz
89,1617.047000,nm,185.395,THz,-38.21,dBm,-13.72,dB,A,0.610000,nm,70.0,GHz
90,1617.245000,nm,185.3723,THz,-38.24,dBm,-13.34,dB,A,0.198000,nm,22.7,GHz
91,1617.460000,nm,185.3477,THz,-38.28,dBm,-13.99,dB,A,0.215000,nm,24.6,GHz
92,1617.658000,nm,185.325,THz,-38.29,dBm,-13.64,dB,A,0.198000,nm,22.7,GHz
93,1617.856000,nm,185.3023,THz,-38.28,dBm,-12.78,dB,A,0.198000,nm,22.7,GHz
94,1618.070000,nm,185.2778,THz,-38.31,dBm,-13.09,dB,A,0.214000,nm,24.5,GHz
95,1618.268000,nm,185.2551,THz,-38.31,dBm,-12.39,dB,A,0.198000,nm,22.7,GHz
96,1618.483000,nm,185.2305,THz,-38.33,dBm,-11.98,dB,A,0.215000,nm,24.6,GHz
97,1618.681000,nm,185.2079,THz,-38.36,dBm,-11.9,dB,A,0.198000,nm,22.6,GHz
98,1618.895000,nm,185.1834,THz,-38.37,dBm,-11.74,dB,A,0.214000,nm,24.5,GHz
99,1619.093000,nm,185.1607,THz,-38.4,dBm,-12.02,dB,A,0.198000,nm,22.7,GHz
100,1619.291000,nm,185.1381,THz,-38.44,dBm,-12.17,dB,A,0.198000,nm,22.6,GHz
101,1619.506000,nm,185.1135,THz,-38.46,dBm,-12.4,dB,A,0.215000,nm,24.6,GHz
102,1619.704000,nm,185.0909,THz,-38.53,dBm,-13.69,dB,A,0.198000,nm,22.6,GHz
103,1619.918000,nm,185.0664,THz,-38.58,dBm,-14.41,dB,A,0.214000,nm,24.5,GHz
104,1620.133000,nm,185.0419,THz,-38.58,dBm,-13.49,dB,A,0.215000,nm,24.5,GHz
105,1620.331000,nm,185.0193,THz,-38.61,dBm,-13.97,dB,A,0.198000,nm,22.6,GHz
106,1620.545000,nm,184.9948,THz,-38.63,dBm,-13.67,dB,A,0.214000,nm,24.5,GHz
107,1620.760000,nm,184.9703,THz,-38.65,dBm,-13.19,dB,A,0.215000,nm,24.5,GHz
108,1620.941000,nm,184.9496,THz,-38.7,dBm,-14.01,dB,A,0.181000,nm,20.7,GHz
109,1621.139000,nm,184.9271,THz,-38.73,dBm,-14.16,dB,A,0.198000,nm,22.5,GHz
110,1621.337000,nm,184.9045,THz,-38.74,dBm,-13.67,dB,A,0.198000,nm,22.6,GHz
111,1621.535000,nm,184.8819,THz,-38.79,dBm,-14.38,dB,A,0.198000,nm,22.6,GHz
112,1621.931000,nm,184.8368,THz,-38.82,dBm,-14.2,dB,A,0.396000,nm,45.1,GHz
113,1622.162000,nm,184.8104,THz,-38.86,dBm,-13.76,dB,A,0.231000,nm,26.4,GHz
114,1622.575000,nm,184.7634,THz,-38.92,dBm,-14.15,dB,A,0.413000,nm,47.0,GHz
115,1622.773000,nm,184.7408,THz,-38.93,dBm,-13.28,dB,A,0.198000,nm,22.6,GHz
116,1622.971000,nm,184.7183,THz,-38.96,dBm,-13.29,dB,A,0.198000,nm,22.5,GHz
117,1623.185000,nm,184.694,THz,-38.97,dBm,-12.92,dB,A,0.214000,nm,24.3,GHz
118,1623.367000,nm,184.6732,THz,-38.98,dBm,-12.16,dB,A,0.182000,nm,20.8,GHz
119,1623.598000,nm,184.647,THz,-39.02,dBm,-12.55,dB,A,0.231000,nm,26.2,GHz
120,1623.796000,nm,184.6245,THz,-39.08,dBm,-13.53,dB,A,0.198000,nm,22.5,GHz
121,1624.010000,nm,184.6001,THz,-39.12,dBm,-13.95,dB,A,0.214000,nm,24.4,GHz
122,1624.225000,nm,184.5757,THz,-39.11,dBm,-12.71,dB,A,0.215000,nm,24.4,GHz
123,1624.439000,nm,184.5514,THz,-39.12,dBm,-11.86,dB,A,0.214000,nm,24.3,GHz
124,1624.621000,nm,184.5307,THz,-39.15,dBm,-11.88,dB,A,0.182000,nm,20.7,GHz
125,1624.835000,nm,184.5064,THz,-39.2,dBm,-12.26,dB,A,0.214000,nm,24.3,GHz
